_id,type,date,duration,status,transcription_user,transcription_started_on,transcription_ended_on,translation_user,translation_started_on,translation_ended_on,translation_review_user,translation_review_started_on,translation_review_ended_on
5feb40da638e744fa4ca2a95,spanish,1607599656,302.085,completed,5fedd0e07c5473086fc66e60,1.61E+12,1.61E+12,5fedd0e07c5473086fc66e60,1.61E+12,1.61E+12,5fedd0e07c5473086fc66e60,1.61E+12,1.61E+12
5feb40da638e744fa4ca2a96,spanish,1607599659,305.175,transcription,5fedd0e07c5473086fc66e60,1.61E+12,,,,,,,
5feb40da638e744fa4ca2a97,spanish,1607599661,298.07,translation,5feb4092f44a284f837fc06e,1.61E+12,1.61E+12,,,,,,
5feb40da638e744fa4ca2a98,spanish,1607599663,300.94,completed,AchutRaj,1.61E+12,1.61E+12,,,1.61E+12,AchutRaj,1.61E+12,1.61E+12
5feb40da638e744fa4ca2a99,spanish,1607599666,296.96,completed,AchutRaj,1.61E+12,1.61E+12,,,1.61E+12,,,1.61E+12
5feb40da638e744fa4ca2a9a,spanish,1607599668,300.37,translation,sudesh,1.61E+12,1.61E+12,,,,,,
5feb40da638e744fa4ca2a9b,spanish,1607599671,296.82,completed,AchutRaj,1.61E+12,1.61E+12,,,1.61E+12,,,1.61E+12
5feb40da638e744fa4ca2a9c,spanish,1607599673,294.16,translation_review,AchutRaj,1.61E+12,1.61E+12,,,1.61E+12,,,1.61E+12
5feb40da638e744fa4ca2a9d,spanish,1607599675,287.6,translation,sudesh,1.61E+12,1.61E+12,,,,,,
5feb40da638e744fa4ca2a9e,spanish,1607599677,301.6,translation_review,AchutRaj,1.61E+12,1.61E+12,AchutRaj,1.61E+12,1.61E+12,,,
5feb40da638e744fa4ca2a9f,spanish,1607599680,333.36,translation_review,sudesh,1.61E+12,1.61E+12,,,1.61E+12,,,
5feb40da638e744fa4ca2aa0,spanish,1607599682,317.07,completed,AchutRaj,1.61E+12,1.61E+12,,,1.61E+12,,,1.61E+12
5feb40da638e744fa4ca2aa1,spanish,1607599684,266.5,translation_review,AchutRaj,1.61E+12,1.61E+12,AchutRaj,1.61E+12,1.61E+12,,,
5feb40da638e744fa4ca2b35,spanish,1607599790,294.57,translation_review,AchutRaj,1.61E+12,1.61E+12,,,1.61E+12,,,1.61E+12
5feb40da638e744fa4ca2b36,spanish,1607599792,305.15,translation,sudesh,1.61E+12,1.61E+12,,,,,,
5feb40da638e744fa4ca2b37,spanish,1607599794,296.74,translation,AchutRaj,1.61E+12,1.61E+12,,,1.61E+12,,,1.61E+12
5feb40da638e744fa4ca2b38,spanish,1607599796,302.16,completed,mireia,1.61E+12,1.61E+12,mireia,1.61E+12,1.61E+12,mireia,1.61E+12,1.61E+12
5feb40da638e744fa4ca2b39,spanish,1607599797,290.67,transcription,AchutRaj,1.61E+12,1.61E+12,,,1.61E+12,,,1.61E+12
5feb40da638e744fa4ca2b3a,spanish,1607599799,298.78,translation_review,mireia,1.61E+12,1.61E+12,mireia,1.61E+12,1.61E+12,,,
