_id,type,date,duration,status,transcription_user,transcription_started_on,transcription_ended_on,translation_user,translation_started_on,translation_ended_on,translation_review_user,translation_review_started_on,translation_review_ended_on
5feb40da638e744fa4ca2a95,spanish,1607599655.979692,302.085,completed,5fedd0e07c5473086fc66e60,1609421075002,1609421094689,5fedd0e07c5473086fc66e60,1609421098108,1609421121762,5fedd0e07c5473086fc66e60,1609421125025,1609421148681
5feb40da638e744fa4ca2a96,spanish,1607599659.3573592,305.175,transcription,5fedd0e07c5473086fc66e60,1609421160321,,,,,,,
5feb40da638e744fa4ca2a97,spanish,1607599661.1817765,298.07000000000005,translation,5feb4092f44a284f837fc06e,1609758211034,1609758296089,,,,,,
5feb40da638e744fa4ca2a98,spanish,1607599662.8593898,300.93999999999994,completed,AchutRaj,1609830931106,1609835075108,,,1609835353032,AchutRaj,1609835382810,1609835473319
5feb40da638e744fa4ca2a99,spanish,1607599665.5228796,296.96000000000004,completed,AchutRaj,1609835494594,1609836586447,,,1609836639145,,,1609836717404
5feb40da638e744fa4ca2a9a,spanish,1607599667.8139207,300.3699999999999,translation,sudesh,1609835518160,1609845689770,,,,,,
5feb40da638e744fa4ca2a9b,spanish,1607599670.7190652,296.82000000000016,completed,AchutRaj,1609837359499,1609842530131,,,1609842590514,,,1609844219900
5feb40da638e744fa4ca2a9c,spanish,1607599672.739617,294.15999999999985,translation_review,AchutRaj,1609902378032,1609907582463,,,1609907708353,,,1609906849193
5feb40da638e744fa4ca2a9d,spanish,1607599675.0083017,287.5999999999999,translation,sudesh,1609906362061,1609912236509,,,,,,
5feb40da638e744fa4ca2a9e,spanish,1607599677.1049063,301.60000000000036,translation_review,AchutRaj,1609908067712,1609912513248,AchutRaj,1609913457972,1609913551456,,,
5feb40da638e744fa4ca2a9f,spanish,1607599679.8241768,333.3599999999997,translation_review,sudesh,1609912337494,1609918574198,,,1609919963628,,,
5feb40da638e744fa4ca2aa0,spanish,1607599682.2049146,317.07000000000016,completed,AchutRaj,1609913558283,1609914576942,,,1609914616610,,,1609914735829
5feb40da638e744fa4ca2aa1,spanish,1607599684.4470062,266.5,translation_review,AchutRaj,1609915523768,1609915752620,AchutRaj,1609915924738,1609915949130,,,
5feb40da638e744fa4ca2b35,spanish,1607599790.3967462,294.57,translation_review,AchutRaj,1609915955555,1609920618948,,,1609920626602,,,1609920399612
5feb40da638e744fa4ca2b36,spanish,1607599791.9791226,305.15000000000003,translation,sudesh,1609919983241,1609926065982,,,,,,
5feb40da638e744fa4ca2b37,spanish,1607599794.0423107,296.74,translation,AchutRaj,1609922258373,1609926985756,,,1609926252905,,,1609926417442
5feb40da638e744fa4ca2b38,spanish,1607599795.5970118,302.15999999999985,completed,mireia,1610085000539,1610087638499,mireia,1610087649267,1610087680143,mireia,1610353920504,1610354527998
5feb40da638e744fa4ca2b39,spanish,1607599797.0109878,290.6700000000001,transcription,AchutRaj,1609920658851,1609921387436,,,1609921417716,,,1609921583761
5feb40da638e744fa4ca2b3a,spanish,1607599798.7914832,298.78,translation_review,mireia,1609923015876,1609923193823,mireia,1609923368283,1609923476511,,,
5feb40da638e744fa4ca2b3b,spanish,1607599800.583276,302.14999999999986,,mireia,1609923480162,1609926494839,mireia,1609925505358,1609926522614,,,1609926688342
5feb40da638e744fa4ca2b3c,spanish,1607599802.6587017,305.96000000000004,translation,sudesh,1609926235540,1609931841818,,,,,,
5feb40da638e744fa4ca2b3d,spanish,1607599804.2709072,305.47000000000025,translation,sudesh,1609991853412,1609997168103,,,,,,
5feb40da638e744fa4ca2b3e,spanish,1607599805.8973033,300.27,translation,AchutRaj,1609993108945,1609993748592,,,,,,
5feb40da638e744fa4ca2b3f,spanish,1607599807.690607,300.15999999999985,translation,AchutRaj,1609997103426,1609999189975,,,,,,
5feb40da638e744fa4ca2b40,spanish,1607599808.8499136,149.17000000000007,translation,AchutRaj,1609927966288,1609928215610,,,,,,
5feb40da638e744fa4ca2aa2,spanish,1607599810.0158432,313.01,translation,sudesh,1609997986980,1610003028524,,,,,,
5feb40da638e744fa4ca2aa3,spanish,1607599811.2165797,290.38,translation_review,mireia,1609998412730,1610001712160,mireia,1610001731039,1610002044530,,,
